continent,year,problem_num,mean_score
Australia,1991,p2,4.083333333333333
Australia,1991,p3,3.4166666666666665
Australia,1991,p4,3.416666666666667
Australia,1991,p5,3.166666666666667
Australia,1991,p6,1.1666666666666665
Australia,1992,p1,2.666666666666667
Australia,1992,p2,3.25
Australia,1992,p3,1.6666666666666665
Australia,1992,p4,2.583333333333333
Australia,1992,p5,0.9166666666666665
Australia,1992,p6,2.166666666666667
Australia,1993,p1,3
Australia,1993,p2,2.666666666666667
Australia,1993,p3,0.6666666666666667
Australia,1993,p4,2.166666666666667
Australia,1993,p5,4.083333333333334
Australia,1993,p6,1.4166666666666665
Australia,1994,p1,3.25
Australia,1994,p2,5.166666666666667
Australia,1994,p3,6.416666666666667
Australia,1994,p4,3.5
Australia,1994,p5,3.416666666666667
Australia,1994,p6,2.333333333333333
Australia,1995,p1,5.583333333333333
Australia,1995,p2,0.4166666666666667
Australia,1995,p3,4.666666666666666
Australia,1995,p4,5.25
Australia,1995,p5,2.5
Australia,1995,p6,0.6666666666666666
Australia,1996,p1,4.333333333333333
Australia,1996,p2,1.1666666666666665
Australia,1996,p3,2.6666666666666665
Australia,1996,p4,1.25
Australia,1996,p5,0.08333333333333331
Australia,1996,p6,3.25
Australia,1997,p1,2.916666666666667
Australia,1997,p2,4.083333333333334
Australia,1997,p3,3.75
Australia,1997,p4,6.083333333333333
Australia,1997,p5,4
Australia,1997,p6,0.6666666666666667
Australia,1998,p1,3
Australia,1998,p2,3.916666666666667
Australia,1998,p3,2.3333333333333335
Australia,1998,p4,3.75
Australia,1998,p5,2.5
Australia,1998,p6,0.8333333333333333
Australia,1999,p1,4.583333333333334
Australia,1999,p2,1.3333333333333335
Australia,1999,p3,2.333333333333333
Australia,1999,p4,3.416666666666667
Australia,1999,p5,1.1666666666666665
Australia,1999,p6,1.25
Australia,2000,p1,3.6666666666666665
Australia,2000,p2,2.25
Australia,2000,p3,1.5
Australia,2000,p4,3.5
Australia,2000,p5,1.8333333333333333
Australia,2000,p6,0.25
Australia,2001,p1,4.416666666666667
Australia,2001,p2,1.0833333333333335
Australia,2001,p3,1.1666666666666665
Australia,2001,p4,3
Australia,2001,p5,3
Australia,2001,p6,0.25
Australia,2002,p1,4.583333333333333
Australia,2002,p2,3.416666666666667
Australia,2002,p3,0.9166666666666665
Australia,2002,p4,5
Australia,2002,p5,2.333333333333333
Australia,2002,p6,0.3333333333333333
Australia,2003,p1,3.75
Australia,2003,p2,2.166666666666667
Australia,2003,p3,0.08333333333333334
Australia,2003,p4,4.25
Australia,2003,p5,0.8333333333333333
Australia,2003,p6,0.16666666666666666
Australia,2004,p1,5.083333333333333
Australia,2004,p2,2.416666666666667
Australia,2004,p3,0.9166666666666667
Australia,2004,p4,3.916666666666667
Australia,2004,p5,2
Australia,2004,p6,0.75
Australia,2005,p1,2.5
Australia,2005,p2,3.916666666666667
Australia,2005,p3,0.5833333333333333
Australia,2005,p4,5.583333333333333
Australia,2005,p5,2.25
Australia,2005,p6,1.3333333333333335
Australia,2006,p1,6.583333333333333
Australia,2006,p2,2.333333333333333
Australia,2006,p3,0.16666666666666669
Australia,2006,p4,4.5
Australia,2006,p5,0.9166666666666667
Australia,2006,p6,0
Australia,2007,p1,4.5
Australia,2007,p2,2.25
Australia,2007,p3,0.33333333333333337
Australia,2007,p4,6.333333333333333
Australia,2007,p5,1.5833333333333333
Australia,2007,p6,0.08333333333333333
Australia,2008,p1,4.916666666666666
Australia,2008,p2,2.083333333333333
Australia,2008,p3,0.3333333333333333
Australia,2008,p4,4
Australia,2008,p5,3.666666666666667
Australia,2008,p6,0.16666666666666669
Australia,2009,p1,6.333333333333333
Australia,2009,p2,3.333333333333333
Australia,2009,p3,1.75
